127.0.0.1 - - [18/Apr/2020:00:00:11 -0300] "GET / HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:00:19 -0300] "GET /rest-risterp/icons/add.png HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:00:48 -0300] "GET /rest-risterp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:00:48 -0300] "GET /rest-risterp/icons/rist_erp_verde_ico.ico HTTP/1.1" 200 105669
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:00:50 -0300] "GET /rest-risterp/rest/usuarios/validar/MANUEL.TUSSET/1234 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:00:50 -0300] "GET /rest-risterp/rest/usuarios_empresas/empresas/1 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:01:36 -0300] "GET /rest-risterp/i HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:01:37 -0300] "GET /rest-risterp/ic HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:01:37 -0300] "GET /rest-risterp/ico HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:01:37 -0300] "GET /rest-risterp/icon HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:01:37 -0300] "GET /rest-risterp/icons HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:01:37 -0300] "GET /rest-risterp/icons/ HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:01:38 -0300] "GET /rest-risterp/icons/ HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:02:01 -0300] "GET /rest-risterp/icons/a HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:02:01 -0300] "GET /rest-risterp/icons/ad HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:02:02 -0300] "GET /rest-risterp/icons/add HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:02:02 -0300] "GET /rest-risterp/icons/add. HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:02:04 -0300] "GET /rest-risterp/icons/add.p HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:02:05 -0300] "GET /rest-risterp/icons/add.pn HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [18/Apr/2020:00:02:05 -0300] "GET /rest-risterp/icons/add.png HTTP/1.1" 304 -
