0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:08 -0300] "GET /rest-risterp/icons/e HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:08 -0300] "GET /rest-risterp/icons/ HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:08 -0300] "GET /rest-risterp/icons/a HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:08 -0300] "GET /rest-risterp/icons/ad HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:09 -0300] "GET /rest-risterp/icons/add HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:09 -0300] "GET /rest-risterp/icons/add. HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:09 -0300] "GET /rest-risterp/icons/add.p HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:09 -0300] "GET /rest-risterp/icons/add.pn HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:09 -0300] "GET /rest-risterp/icons/add.png HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:53 -0300] "GET /rest-risterp/icons/add.png HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:53 -0300] "GET /favicon.ico HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [17/Apr/2020:23:59:53 -0300] "GET /rest-risterp/icons/add.png HTTP/1.1" 404 732
